RecID,Species,ScieName,SpeciesGrp,YearC,Decade,Status,PartyName,Flag,Fleet,Stock,SampAreaCode,Area,SpcGearGrp,GearGrp,GearCode,CatchTypeCode,QualInfoCode,Qty_t
51,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1950,1950,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-AZORES,ATE,unkn,AZOR,Bait boat,BB,BB,C,UNKN,593
54,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1950,1950,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,unkn,MDRA,Bait boat,BB,BB,C,UNKN,111
213,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1951,1950,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-AZORES,ATE,unkn,AZOR,Bait boat,BB,BB,C,UNKN,358
215,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1951,1950,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,unkn,MDRA,Bait boat,BB,BB,C,UNKN,101
387,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1952,1950,NCO,Non-contracting parties,Cuba,CUB,ATW,unkn,WTRO,Bait boat,BB,BBI,C,UNKN,1229
430,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1952,1950,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-AZORES,ATE,unkn,AZOR,Bait boat,BB,BB,C,UNKN,484
433,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1952,1950,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,unkn,MDRA,Bait boat,BB,BB,C,UNKN,97
609,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1953,1950,NCO,Non-contracting parties,Cuba,CUB,ATW,unkn,WTRO,Bait boat,BB,BBI,C,UNKN,1281
653,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1953,1950,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-AZORES,ATE,unkn,AZOR,Bait boat,BB,BB,C,UNKN,561
656,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1953,1950,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,unkn,MDRA,Bait boat,BB,BB,C,UNKN,225
837,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1954,1950,NCO,Non-contracting parties,Cuba,CUB,ATW,unkn,WTRO,Bait boat,BB,BBI,C,UNKN,1370
882,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1954,1950,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-AZORES,ATE,unkn,AZOR,Bait boat,BB,BB,C,UNKN,416
885,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1954,1950,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,unkn,MDRA,Bait boat,BB,BB,C,UNKN,304
1075,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1955,1950,NCO,Non-contracting parties,Cuba,CUB,ATW,unkn,WTRO,Bait boat,BB,BBI,C,UNKN,1396
1122,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1955,1950,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-AZORES,ATE,unkn,AZOR,Bait boat,BB,BB,C,UNKN,709
1125,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1955,1950,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,unkn,MDRA,Bait boat,BB,BB,C,UNKN,483
1319,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1956,1950,NCO,Non-contracting parties,Cuba,CUB,ATW,unkn,WTRO,Bait boat,BB,BBI,C,UNKN,1503
1374,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1956,1950,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-AZORES,ATE,unkn,AZOR,Bait boat,BB,BB,C,UNKN,657
1376,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1956,1950,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,unkn,MDRA,Bait boat,BB,BB,C,UNKN,345
1540,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1956,1950,CP,ANGOLA,Angola,AGO,ATE,unkn,ETRO,Other surf.,SU,SURF,C,UNKN,1
1541,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1956,1950,CP,ANGOLA,Angola,AGO,ATE,unkn,ETRO,Bait boat,BB,BBI,C,UNKN,149
1568,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1957,1950,NCO,Non-contracting parties,Cuba,CUB,ATW,unkn,WTRO,Bait boat,BB,BBI,C,UNKN,1955
1669,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1957,1950,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-AZORES,ATE,unkn,AZOR,Bait boat,BB,BB,C,UNKN,26
1671,SKJ,Katsuwonus pelamis,1-Tuna (major sp.),1957,1950,CP,EUROPEAN UNION,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,unkn,MDRA,Bait boat,BB,BB,C,UNKN,129
