DSetID,Flag,FleetCode,Year,GearGrp,GearCode,TimePeriodID,SquareTypeCode,QuadID,Lat,Lon,Eff1,Eff1Type,CatchUnits,DSetType,SKJ,
5037,Brazil,BRA-BRA-ITAJAI,2010,PS,PSFS,2,1x1,3,25,47,230,FISH.HOUR,kg,-w,10000,43.47826087
5037,Brazil,BRA-BRA-ITAJAI,2010,PS,PSFS,3,1x1,3,25,45,300,FISH.HOUR,kg,-w,19000,63.33333333
3654,Cape Verde,CPV-CV-ETRO,2006,PS,PS,5,1x1,4,14,20,12.8,FISH.HOUR,kg,-w,25760,2012.5
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,1,1x1,4,14,17,22.7,FISH.HOUR,kg,-w,120,5.286343612
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,1,1x1,4,14,18,11.3,FISH.HOUR,kg,-w,620,54.86725664
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,2,1x1,4,12,18,35.1,FISH.HOUR,kg,-w,1090,31.05413105
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,2,1x1,4,14,18,11.6,FISH.HOUR,kg,-w,2170,187.0689655
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,3,1x1,4,12,17,12,FISH.HOUR,kg,-w,3960,330
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,4,1x1,4,13,18,99.2,FISH.HOUR,kg,-w,55620,560.6854839
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,4,1x1,4,13,19,111.6,FISH.HOUR,kg,-w,99590,892.3835125
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,4,1x1,4,14,17,12.4,FISH.HOUR,kg,-w,220,17.74193548
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,4,1x1,4,14,18,310.5,FISH.HOUR,kg,-w,199930,643.8969404
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,4,1x1,4,14,19,347.8,FISH.HOUR,kg,-w,182900,525.8769408
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,5,1x1,4,13,18,38.1,FISH.HOUR,kg,-w,5620,147.5065617
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,5,1x1,4,13,19,12.7,FISH.HOUR,kg,-w,560,44.09448819
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,5,1x1,4,14,17,51,FISH.HOUR,kg,-w,6010,117.8431373
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,5,1x1,4,14,18,276.5,FISH.HOUR,kg,-w,72490,262.1699819
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,5,1x1,4,14,19,306.2,FISH.HOUR,kg,-w,153710,501.992162
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,5,1x1,4,16,19,12.9,FISH.HOUR,kg,-w,8240,638.7596899
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,6,1x1,4,18,18,13.2,FISH.HOUR,kg,-w,2400,181.8181818
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,7,1x1,4,17,16,13,FISH.HOUR,kg,-w,2440,187.6923077
3652,EU.España,EU.ESP-ES-ETRO,2006,BB,BB,7,1x1,4,17,18,13,FISH.HOUR,kg,-w,3450,265.3846154
